sale_price,sale_date,city,state,lat,lng
71000,2013-02-19,NASHVILLE,TN,36.09343,-86.725672
107900,2013-02-26,NASHVILLE,TN,36.088957,-86.727241
125700,2013-02-11,NASHVILLE,TN,36.09264,-86.723009
240000,2013-02-28,NASHVILLE,TN,36.070658,-86.752304
174000,2013-02-01,NASHVILLE,TN,36.071991,-86.749056
325000,2013-02-28,NASHVILLE,TN,36.067406,-86.749418
179900,2013-02-20,NASHVILLE,TN,36.070641,-86.737184
142000,2013-02-12,NASHVILLE,TN,36.068069,-86.738452
142500,2013-02-14,NASHVILLE,TN,36.066503,-86.727068
115000,2013-02-25,NASHVILLE,TN,36.070923,-86.716233
125000,2013-02-08,NASHVILLE,TN,36.070248,-86.70449
300000,2013-02-07,BRENTWOOD,TN,36.045758,-86.76352
123000,2013-02-01,NASHVILLE,TN,36.04586,-86.74748
82620,2013-02-20,ANTIOCH,TN,36.053221,-86.684054
132000,2013-02-22,NASHVILLE,TN,36.048989,-86.700205
340000,2013-02-11,NASHVILLE,TN,36.036164,-86.734679
250000,2013-02-13,NASHVILLE,TN,36.148315,-86.849914
432000,2013-02-26,NASHVILLE,TN,36.149655,-86.848524
331000,2013-02-15,NASHVILLE,TN,36.149931,-86.841003
225000,2013-02-15,NASHVILLE,TN,36.148504,-86.833846
625000,2013-02-25,NASHVILLE,TN,36.148742,-86.838353
367000,2013-02-12,NASHVILLE,TN,36.147928,-86.830008
247000,2013-02-19,NASHVILLE,TN,36.137174,-86.88014
205000,2013-02-21,NASHVILLE,TN,36.130328,-86.882933
130000,2013-02-15,NASHVILLE,TN,36.144463,-86.859899
230000,2013-02-01,NASHVILLE,TN,36.143161,-86.844476
203500,2013-02-22,NASHVILLE,TN,36.14036,-86.850649
350000,2013-02-08,NASHVILLE,TN,36.135576,-86.864269
551500,2013-02-14,NASHVILLE,TN,36.133892,-86.83912
220000,2013-02-15,NASHVILLE,TN,36.151141,-86.833803
320000,2013-02-22,NASHVILLE,TN,36.136753,-86.830803
357500,2013-02-19,NASHVILLE,TN,36.139791,-86.827557
800000,2013-02-14,NASHVILLE,TN,36.139226,-86.815846
563570,2013-02-14,NASHVILLE,TN,36.135758,-86.829644
1125000,2013-02-25,NASHVILLE,TN,36.133759,-86.825432
425000,2013-02-01,NASHVILLE,TN,36.130439,-86.810787
425000,2013-02-13,NASHVILLE,TN,36.127156,-86.810718
368000,2013-02-26,NASHVILLE,TN,36.12663,-86.807359
810000,2013-02-15,NASHVILLE,TN,36.130272,-86.810789
307000,2013-02-15,NASHVILLE,TN,36.125298,-86.798713
510000,2013-02-15,NASHVILLE,TN,36.145868,-86.791339
125000,2013-02-01,NASHVILLE,TN,36.146296,-86.782711
175000,2013-02-22,NASHVILLE,TN,36.130182,-86.774097
268900,2013-02-11,NASHVILLE,TN,36.125128,-86.886035
390000,2013-02-01,NASHVILLE,TN,36.11459,-86.905078
363500,2013-02-27,NASHVILLE,TN,36.110141,-86.900393
430000,2013-02-01,NASHVILLE,TN,36.119036,-86.842028
639900,2013-02-15,NASHVILLE,TN,36.122612,-86.835625
840000,2013-02-28,NASHVILLE,TN,36.287042,-86.749521
307400,2013-02-26,NASHVILLE,TN,36.104918,-86.871528
525000,2013-02-25,NASHVILLE,TN,36.12249,-86.800763
1700000,2013-02-19,NASHVILLE,TN,36.112064,-86.820818
900000,2013-02-01,NASHVILLE,TN,36.11225,-86.821922
313200,2013-02-27,NASHVILLE,TN,36.109902,-86.789221
460000,2013-02-15,NASHVILLE,TN,36.107084,-86.785228
561110,2013-02-25,NASHVILLE,TN,36.098427,-86.836766
245000,2013-02-15,NASHVILLE,TN,36.102091,-86.795365
490000,2013-02-14,NASHVILLE,TN,36.08229,-86.808883
1550000,2013-02-15,NASHVILLE,TN,36.066406,-86.777228
566920,2013-02-28,BRENTWOOD,TN,36.042845,-86.840275
650000,2013-02-04,BRENTWOOD,TN,36.042806,-86.828753
3960,2013-02-08,NASHVILLE,TN,36.187369,-86.811221
42500,2013-02-13,NASHVILLE,TN,36.185722,-86.812173
42500,2013-02-13,NASHVILLE,TN,36.185722,-86.812173
25000,2013-02-01,NASHVILLE,TN,36.18118,-86.812055
25000,2013-02-01,NASHVILLE,TN,36.18236,-86.80659
7000,2013-02-20,NASHVILLE,TN,36.179016,-86.808823
9500,2013-02-19,NASHVILLE,TN,36.171512,-86.81145
108000,2013-02-15,NASHVILLE,TN,36.173204,-86.808518
22700,2013-02-01,NASHVILLE,TN,36.17239,-86.808274
290000,2013-02-01,NASHVILLE,TN,36.152948,-86.886953
85400,2013-02-14,NASHVILLE,TN,36.158048,-86.873551
107500,2013-02-07,NASHVILLE,TN,36.159778,-86.8533
145000,2013-02-15,NASHVILLE,TN,36.153109,-86.868003
229900,2013-02-13,NASHVILLE,TN,36.15772,-86.84395
70500,2013-02-20,NASHVILLE,TN,36.154375,-86.847728
229900,2013-02-11,NASHVILLE,TN,36.157693,-86.847049
20000,2013-02-08,NASHVILLE,TN,36.15906,-86.822926
60000,2013-02-13,NASHVILLE,TN,36.137163,-86.892735
46000,2013-02-13,NASHVILLE,TN,36.218966,-86.822608
75000,2013-02-08,NASHVILLE,TN,36.215105,-86.816873
122500,2013-02-22,NASHVILLE,TN,36.208644,-86.857135
129900,2013-02-08,GOODLETTSVILLE,TN,36.367696,-86.732435
52000,2013-02-25,NASHVILLE,TN,36.282601,-86.786804
160000,2013-02-15,NASHVILLE,TN,36.272279,-86.765787
104400,2013-02-25,NASHVILLE,TN,36.255437,-86.765615
62500,2013-02-20,NASHVILLE,TN,36.247761,-86.771863
70000,2013-02-06,MADISON,TN,36.298487,-86.692531
75000,2013-02-12,MADISON,TN,36.253626,-86.714286
35000,2013-02-15,MADISON,TN,36.257869,-86.7082
123500,2013-02-15,MADISON,TN,36.254544,-86.70148
68000,2013-02-13,MADISON,TN,36.252362,-86.708505
155000,2013-02-05,MADISON,TN,36.251946,-86.693224
67000,2013-02-14,NASHVILLE,TN,36.229663,-86.756233
90000,2013-02-26,NASHVILLE,TN,36.22013,-86.744081
103900,2013-02-25,NASHVILLE,TN,36.215687,-86.753295
136500,2013-02-01,NASHVILLE,TN,36.23117,-86.727231
96000,2013-02-04,NASHVILLE,TN,36.228473,-86.728017
178500,2013-02-15,NASHVILLE,TN,36.221316,-86.733207
199900,2013-02-12,NASHVILLE,TN,36.219064,-86.733826
137000,2013-02-21,NASHVILLE,TN,36.215385,-86.734071
162000,2013-02-22,NASHVILLE,TN,36.215306,-86.723644
90000,2013-02-25,NASHVILLE,TN,36.217306,-86.715499
149500,2013-02-15,MADISON,TN,36.23647,-86.66517
64000,2013-02-08,MADISON,TN,36.233654,-86.656334
58000,2013-02-08,MADISON,TN,36.233528,-86.656272
132000,2013-02-22,NASHVILLE,TN,36.210035,-86.75734
18500,2013-02-06,NASHVILLE,TN,36.20814,-86.764533
15000,2013-02-19,NASHVILLE,TN,36.195487,-86.770551
42500,2013-02-21,NASHVILLE,TN,36.190878,-86.765012
238750,2013-02-14,NASHVILLE,TN,36.192431,-86.760862
45000,2013-02-04,NASHVILLE,TN,36.213036,-86.752836
103000,2013-02-11,NASHVILLE,TN,36.208926,-86.739823
230000,2013-02-20,NASHVILLE,TN,36.212539,-86.724909
125000,2013-02-15,NASHVILLE,TN,36.209747,-86.724686
158500,2013-02-19,NASHVILLE,TN,36.208447,-86.722828
118000,2013-02-11,NASHVILLE,TN,36.204407,-86.730195
200000,2013-02-22,NASHVILLE,TN,36.207775,-86.717054
146000,2013-02-18,NASHVILLE,TN,36.202003,-86.734536
104500,2013-02-04,NASHVILLE,TN,36.201546,-86.725026
136200,2013-02-22,NASHVILLE,TN,36.202179,-86.722802
132400,2013-02-04,NASHVILLE,TN,36.251535,-86.641511
153000,2013-02-22,NASHVILLE,TN,36.200388,-86.716319
254000,2013-02-26,NASHVILLE,TN,36.200672,-86.722456
289900,2013-02-28,NASHVILLE,TN,36.197015,-86.745337
17500,2013-02-06,NASHVILLE,TN,36.193121,-86.748428
85000,2013-02-26,NASHVILLE,TN,36.193244,-86.737094
109000,2013-02-18,NASHVILLE,TN,36.194942,-86.735901
305000,2013-02-11,NASHVILLE,TN,36.196346,-86.73983
140000,2013-02-26,NASHVILLE,TN,36.19389,-86.716127
152000,2013-02-04,NASHVILLE,TN,36.198293,-86.710496
89800,2013-02-04,NASHVILLE,TN,36.193975,-86.71053
89800,2013-02-04,NASHVILLE,TN,36.193179,-86.710735
36000,2013-02-04,NASHVILLE,TN,36.184709,-86.771319
16000,2013-02-11,NASHVILLE,TN,36.185041,-86.771278
35000,2013-02-26,NASHVILLE,TN,36.183831,-86.767832
21000,2013-02-07,NASHVILLE,TN,36.183084,-86.77152
140000,2013-02-28,NASHVILLE,TN,36.169986,-86.755751
140000,2013-02-28,NASHVILLE,TN,36.169999,-86.755718
110000,2013-02-15,NASHVILLE,TN,36.189089,-86.745082
225000,2013-02-12,NASHVILLE,TN,36.189398,-86.713151
170000,2013-02-19,NASHVILLE,TN,36.186645,-86.719747
148500,2013-02-22,NASHVILLE,TN,36.189531,-86.710919
375000,2013-02-22,NASHVILLE,TN,36.183618,-86.745824
260000,2013-02-27,NASHVILLE,TN,36.181303,-86.746104
118000,2013-02-15,NASHVILLE,TN,36.182908,-86.730526
485000,2013-02-15,NASHVILLE,TN,36.180344,-86.747739
535000,2013-02-01,NASHVILLE,TN,36.176203,-86.749204
507000,2013-02-13,NASHVILLE,TN,36.178572,-86.741584
275000,2013-02-07,NASHVILLE,TN,36.179478,-86.739202
216000,2013-02-22,NASHVILLE,TN,36.172207,-86.747188
215000,2013-02-21,NASHVILLE,TN,36.174182,-86.738757
425000,2013-02-15,NASHVILLE,TN,36.1732,-86.739639
83000,2013-02-25,NASHVILLE,TN,36.163316,-86.752804
56000,2013-02-27,NASHVILLE,TN,36.163378,-86.749779
87500,2013-02-21,NASHVILLE,TN,36.163314,-86.75278
50000,2013-02-15,OLD HICKORY,TN,36.261712,-86.648982
